decorated,owner_unit,n_emitters,method
?doDoAI@Creature@@UAE_NXZ,tekibteki,40,ilk-range
?doLoad@Creature@@UAEXAAVRandomAccessStream@@@Z,tekibteki,41,ilk-range
?doRestore@Creature@@UAEXPAVCreatureInf@@@Z,itemMgr,37,ilk-range
?doSave@Creature@@UAEXAAVRandomAccessStream@@@Z,tekibteki,41,ilk-range
?doStore@Creature@@UAEXPAVCreatureInf@@@Z,itemMgr,37,ilk-range
?draw@Action@@UAEXAAVGraphics@@@Z,aiFree,32,ilk-range
?drawSelf@P2DPane@@MAEXHH@Z,gameCourseClear,22,link-order
?dump@Action@@UAEXXZ,aiFree,31,ilk-range
?dump@Creature@@UAEXXZ,itemMgr,34,link-order
?enableAICulling@Creature@@QAEXXZ,tekibteki,7,ilk-range
?enableFaceDirAdjust@Creature@@QAEXXZ,itemMgr,4,ilk-range
?enableFixPos@Creature@@QAEXXZ,navi,6,ilk-range
?enableFriction@DynCreature@@QAEXXZ,pelletMgr,2,ilk-range
?enableGravity@Creature@@QAEXXZ,itemGem,2,ilk-range
?enableGroundOffset@Creature@@QAEXM@Z,itemGem,2,ilk-range
?equals@NMathF@@SA_NMM@Z,nlibgeometry,2,ilk-range
?exitCourse@Creature@@UAEXXZ,itemMgr,27,ilk-range
?finalSetup@ItemCreature@@UAEXXZ,itemMgr,12,link-order
?finish@PeveEvent@@UAEXXZ,pcammotionevents,4,ilk-range
?finish@TaiAction@@UAEXAAVTeki@@@Z,taichappy,26,ilk-range
?finish@TaiAndAction@@UAEXAAVTeki@@@Z,taichappy,2,ilk-range
?finish@TaiNotAction@@UAEXAAVTeki@@@Z,tainapkid,2,ilk-range
?finishFlying@Creature@@QAEXXZ,taiotimoti,5,ilk-range
?finishMotion@AICreature@@UAEXM@Z,simpleAI,2,ilk-range
?finishMotion@AICreature@@UAEXXZ,simpleAI,2,ilk-range
?finishPause@GameCoreSection@@SAXXZ,gameCoreSection,2,ilk-range
?finishSuck@Suckable@@UAEXPAVPellet@@@Z,ufoItem,2,ilk-range
?finishWaterEffect@Creature@@UAEXXZ,tekibteki,40,ilk-range
?first@Iterator@@QAEXXZ,tekimgr,66,ilk-range
?forceFinishLook@Piki@@QAEXXZ,navi,4,ilk-range
?get@?$ParaParameters@H@@QAEHH@Z,tekibteki,16,ilk-range
?get@?$ParaParameters@M@@QAEMH@Z,pcamcameramanager,38,ilk-range
?getAlpha@P2DPicture@@QBEEXZ,drawGameInfo,4,link-order
?getAlpha@P2DTextBox@@QAEEXZ,drawContainer,4,link-order
?getAlphaChar@P2DTextBox@@QAEEXZ,drawMenu,4,link-order
