stem,lo_rva,hi_rva
psulist,0x2195b0,0x219bb0
p2dtextbox,0x219bb0,0x21a590
p2dpicture,0x21a590,0x21c230
p2dwindow,0x21c230,0x21d800
p2dorthograph,0x21d800,0x21df90
drawsavefailure,0x21df90,0x21e510
yai,0x21e510,0x21e830
taiamove,0x21e830,0x222bd0
taiaattack,0x222bd0,0x224060
taiamotion,0x224060,0x224670
taianimation,0x224670,0x224760
taiareaction,0x224760,0x224fd0
taiajudge,0x224fd0,0x225f80
p2dfont,0x225f80,0x226960
p2dstream,0x226960,0x226cd0
p2dprint,0x226cd0,0x2284c0
ogtest,0x2284c0,0x22a240
ogstart,0x22a240,0x22a710
ogtitle,0x22a710,0x22bc10
ogtutorial,0x22bc10,0x22c0e0
ogpause,0x22c0e0,0x22c9c0
ogmenu,0x22c9c0,0x22f320
ogfilechksel,0x22f320,0x22f980
ogresult,0x22f980,0x231ad0
ogsub,0x231ad0,0x234cd0
oggraph,0x234cd0,0x235430
ogdiary,0x235430,0x2378a0
ogmemchk,0x2378a0,0x23a140
ogtotalscore,0x23a140,0x23b5f0
ogmap,0x23b5f0,0x23bce0
ogmessage,0x23bce0,0x23dcf0
ograder,0x23dcf0,0x240690
ogfileselect,0x240690,0x245630
ogsave,0x245630,0x246c80
ogmakedefault,0x246c80,0x247630
ognitaku,0x247630,0x248290
ogfiledelete,0x248290,0x248810
ogfilecopy,0x248810,0x249450
ogcallback,0x249450,0x249880
crtdll,0x2498c0,0x249ac4
ehvecdtr,0x249b20,0x249c80
ehvecctr,0x249c80,0x249d20
chkstk,0x249d30,0x249d60
atonexit,0x249d90,0x249de8
genmapobject,0x24a510,0x24ab70
genteki,0x24ab70,0x24b030
