decorated,owner_unit,n_emitters,method
?normalize@Vector3f@@QAEXXZ,graphics,25,ilk-range
?openFile@StdSystem@@UAEPAVRandomAccessStream@@PAD_N1@Z,graphics,24,ilk-range
?optimize@BaseShape@@UAEXXZ,graphics,11,ilk-range
?output@Vector3f@@QAEXAAV1@@Z,graphics,25,ilk-range
?parseArchiveDirectory@StdSystem@@UAEXPAD0@Z,graphics,24,ilk-range
?procCmd@BaseApp@@UAEXPAD@Z,atx,4,ilk-range
?project@Vector3f@@QAEXAAV1@@Z,graphics,25,ilk-range
?projectVector@CullFrustum@@QAEXAAVVector3f@@0@Z,graphics,12,ilk-range
?read@BoundBox@@QAEXAAVRandomAccessStream@@@Z,graphics,11,ilk-range
?read@Colour@@QAEXAAVStream@@@Z,graphics,12,ilk-range
?read@CoreNode@@UAEXAAVRandomAccessStream@@@Z,graphics,24,ilk-range
?read@Plane@@QAEXAAVRandomAccessStream@@@Z,graphics,12,ilk-range
?read@RamStream@@UAEXPAXH@Z,graphics,27,ilk-range
?read@Vector2f@@QAEXAAVStream@@@Z,graphics,25,ilk-range
?read@Vector2i@@QAEXAAVStream@@@Z,graphics,25,ilk-range
?read@Vector3f@@QAEXAAVStream@@@Z,graphics,25,ilk-range
?readPropValue@AgeServer@@QAEXW4PROP_TYPE@@PAX@Z,graphics,14,link-order
?remove@CacheInfo@@QAEXXZ,shapeBase,2,link-order
?removeMtxDependancy@BaseShape@@QAEXXZ,graphics,11,ilk-range
?render2d@BaseShape@@UAEXAAVGraphics@@@Z,graphics,11,ilk-range
?render2d@EditNode@@UAEXAAVGraphics@@AAH@Z,graphics,11,ilk-range
?render@BaseShape@@UAEXAAVGraphics@@@Z,graphics,11,ilk-range
?resetBound@BoundBox@@QAEXXZ,graphics,11,ilk-range
?resetPending@StdSystem@@QAE_NXZ,graphics,24,ilk-range
?rnd@BaseApp@@QAEMM@Z,atx,4,ilk-range
?rnd@BaseApp@@QAEMXZ,atx,4,ilk-range
?scale2@Vector3f@@QAEXMAAV1@@Z,graphics,25,ilk-range
?scale@Vector3f@@QAEXM@Z,graphics,25,ilk-range
?set2DRoot@StdSystem@@QAEXPAD0@Z,graphics,24,ilk-range
?set@Colour@@QAEXEEEE@Z,graphics,12,link-order
?set@Colour@@QAEXMMM@Z,graphics,12,link-order
?set@Quat@@QAEXMMMM@Z,graphics,25,ilk-range
?set@RectArea@@QAEXHHHH@Z,graphics,11,ilk-range
?set@Vector2f@@QAEXMM@Z,graphics,25,ilk-range
?set@Vector2i@@QAEXHH@Z,graphics,25,ilk-range
?set@Vector3f@@QAEXABM00@Z,graphics,25,ilk-range
?set@Vector3f@@QAEXABV1@@Z,graphics,25,ilk-range
?setAllocType@AyuStack@@QAEHH@Z,graphics,24,ilk-range
?setAmbient@Graphics@@UAEXXZ,graphics,9,ilk-range
?setAtxRouter@System@@QAEXPAVAtxRouter@@@Z,graphics,24,ilk-range
?setBlendMode@Graphics@@UAEXEEE@Z,graphics,9,link-order
?setBoundOffset@CullFrustum@@QAEXPAVVector3f@@@Z,graphics,12,ilk-range
?setColour@Material@@QAEXAAVColour@@@Z,graphics,11,ilk-range
?setDataRoot@StdSystem@@QAEXPAD@Z,graphics,24,ilk-range
?setFade@StdSystem@@QAEXMM@Z,graphics,24,ilk-range
?setFrameClamp@StdSystem@@QAEXJ@Z,graphics,24,link-order
?setLength@RamStream@@UAEXH@Z,graphics,27,ilk-range
?setLightcam@Graphics@@UAEXPAVLightCamera@@@Z,graphics,9,ilk-range
?setMatHandler@Graphics@@UAEXPAVMaterialHandler@@@Z,graphics,9,ilk-range
?setName@CoreNode@@QAEXPAD@Z,graphics,24,ilk-range
?setOnChange@AgeServer@@QAEXPAV?$IDelegate1@AAVAgeServer@@@@@Z,graphics,14,link-order
?setOnChange@AgeServer@@QAEXPAVIDelegate@@@Z,graphics,14,link-order
?setPosition@RamStream@@UAEXH@Z,graphics,27,ilk-range
?setPosition@RandomAccessStream@@UAEXH@Z,graphics,27,ilk-range
?setSectionRefresh@AgeServer@@QAEXPAV?$IDelegate1@AAVAgeServer@@@@@Z,graphics,14,link-order
?setTextureBase@StdSystem@@QAEXPAD0@Z,graphics,24,ilk-range
?setTranslation@Matrix4f@@QAEXAAVVector3f@@@Z,graphics,25,ilk-range
?setTranslation@Matrix4f@@QAEXMMM@Z,graphics,25,ilk-range
?setVerticalFilter@Graphics@@UAEXPAE@Z,graphics,9,link-order
?softReset@StdSystem@@QAEXXZ,graphics,24,ilk-range
?squaredLength@Vector3f@@QAEMXZ,graphics,25,ilk-range
?start@Timers@@QAEXPAD_N@Z,shapeBase,4,link-order
?startLoading@StdSystem@@UAEXPAULoadIdler@@_NK@Z,graphics,24,link-order
?stop@Timers@@QAEXPAD@Z,shapeBase,4,link-order
?stringHeight@Font@@QAEHPAD@Z,graphics,6,ilk-range
?sub2@Vector3f@@QAEXAAV1@0@Z,graphics,25,ilk-range
?sub@Vector3f@@QAEXAAV1@0@Z,graphics,25,ilk-range
?sub@Vector3f@@QAEXAAV1@@Z,graphics,25,ilk-range
?testRectangle@Graphics@@UAEXAAVRectArea@@@Z,graphics,9,ilk-range
?update@AgeServer@@QAEHXZ,graphics,14,link-order
?update@BaseShape@@UAEXXZ,graphics,11,ilk-range
?useDList@Graphics@@UAEXK@Z,graphics,9,link-order
?useHeap@BaseApp@@UAEXH@Z,atx,4,ilk-range
?useMaterial@Graphics@@UAEXPAVMaterial@@@Z,graphics,9,ilk-range
?videoReset@Graphics@@UAEXXZ,graphics,9,ilk-range
?width@RectArea@@QAEHXZ,graphics,11,ilk-range
?write@RamStream@@UAEXPAXH@Z,graphics,27,ilk-range
?write@Vector2f@@QAEXAAVStream@@@Z,graphics,25,ilk-range
?write@Vector2i@@QAEXAAVStream@@@Z,graphics,25,ilk-range
?write@Vector3f@@QAEXAAVStream@@@Z,graphics,25,ilk-range
?writeProp@AgeServer@@QAEXW4PROP_TYPE@@PAX@Z,graphics,14,link-order
?writePropValue@AgeServer@@QAEXW4PROP_TYPE@@PAX@Z,graphics,14,link-order
?writeType@AnimData@@UAEXAAVRandomAccessStream@@@Z,graphics,12,ilk-range
