rva,va,kind,size,name_mangled,name,source
0x00484174,0x10484174,string,0,??_C@_08OKEI@CollPart?$AA@,"""CollPart""",ilk
0x00484180,0x10484180,string,0,??_C@_0O@PDEO@mail?5to?5saru?6?$AA@,"""mail to saru\n""",ilk
0x00484190,0x10484190,string,0,??_C@_0BO@IFKD@NOT?5YET?5?$CB?$CB?5DONT?5CALL?5ME?5NOW?5?6?$AA@,"""NOT YET !! DONT CALL ME NOW \n""",ilk
0x004841b0,0x104841b0,string,0,??_C@_0DM@EBOI@c?3?2development?2dolphinpiki?2plugp@,"""c:\\development\\dolphinpiki\\plugp""...",ilk
0x004841ec,0x104841ec,data,0,__real@4@3ffeffbe770000000000,__real@4@3ffeffbe770000000000,ilk
0x004841f0,0x104841f0,string,0,??_C@_0BN@NHD@inplae?5?3?5initInfo?$CI?$CFx?0?$CFx?0?$CFx?$CJ?6?$AA@,"""inplae : initInfo(%x,%x,%x)\n""",ilk
0x00484210,0x10484210,string,0,??_C@_0BD@DIBL@?$CK?$CK?$CK1?5code?5FOUND?$CB?$CB?6?$AA@,"""***1 code FOUND!!\n""",ilk
0x00484224,0x10484224,string,0,??_C@_0CP@MDD@index?5?$CFd?5id?$CI?$CFs?$CJ?5code?$CI?$CFs?$CJ?3?5next?$DN?$CF@,"""index %d id(%s) code(%s): next=%""...",ilk
0x00484254,0x10484254,string,0,??_C@_0O@DGCC@mail?5to?5nrta?6?$AA@,"""mail to nrta\n""",ilk
0x00484264,0x10484264,string,0,??_C@_0BJ@JBGA@failed?5to?5make?5?$CFd?5tube?5?6?$AA@,"""failed to make %d tube \n""",ilk
0x00484280,0x10484280,string,0,??_C@_0BD@EINK@mail?5to?5nishimeck?6?$AA@,"""mail to nishimeck\n""",ilk
0x00484294,0x10484294,string,0,??_C@_0BO@HBNC@no?5CollPart?5for?5making?5tubes?6?$AA@,"""no CollPart for making tubes\n""",ilk
0x004842b4,0x104842b4,string,0,??_C@_0BA@HJIL@mail?5to?5warata?6?$AA@,"""mail to warata\n""",ilk
0x004842c4,0x104842c4,string,0,??_C@_0BL@BEIH@setUpdater?3?3no?5CollPart?5?$CB?6?$AA@,"""setUpdater::no CollPart !\n""",ilk
0x004842e0,0x104842e0,string,0,??_C@_0CF@EELM@?$CD?$CD?$CD?5TOO?5MANY?5COLLINFOS?5?$CB?5?$CILIMIT?$DN@,"""### TOO MANY COLLINFOS ! (LIMIT=""...",ilk
0x00484308,0x10484308,vtable,0,??_7SearchBuffer@@6B@,const SearchBuffer::`vftable',ilk
0x00484318,0x10484318,string,0,??_C@_0BF@OEJG@?5?$CFx?$CI?$CFd?$CJ?5?3?5?$FL?$CFd?$FN?5?$DN?5?$CFx?6?$AA@,""" %x(%d) : [%d] = %x\n""",ilk
0x00484330,0x10484330,string,0,??_C@_09FHMF@searchSys?$AA@,"""searchSys""",ilk
0x0048433c,0x1048433c,string,0,??_C@_0N@GPBB@mail?5to?5uja?6?$AA@,"""mail to uja\n""",ilk
0x0048434c,0x1048434c,string,0,??_C@_0DE@GEKI@c?9?$DOindex?5is?5out?5of?5bounds?5?$FL?$CFd?9?$CFd@,"""c->index is out of bounds [%d-%d""...",ilk
0x00484380,0x10484380,string,0,??_C@_0DN@DDDD@c?3?2development?2dolphinpiki?2plugp@,"""c:\\development\\dolphinpiki\\plugp""...",ilk
0x004843c0,0x104843c0,string,0,??_C@_09OHDB@updateMgr?$AA@,"""updateMgr""",ilk
0x004843cc,0x104843cc,string,0,??_C@_0N@KAGC@?$CFd?5?3?5?$CFd?5?$CI?$CFd?$CJ?$AA@,"""%d : %d (%d)""",ilk
0x004843dc,0x104843dc,string,0,??_C@_0BP@CAKK@updateMgr?5?3?5?$CFd?5frames?5total?$DN?$CFd?$AA@,"""updateMgr : %d frames total=%d""",ilk
0x004843fc,0x104843fc,string,0,??_C@_05CBGC@dead?5?$AA@,"""dead """,ilk
0x00484404,0x10484404,string,0,??_C@_05HMFC@alive?$AA@,"""alive""",ilk
0x0048440c,0x1048440c,string,0,??_C@_0BH@NPPC@try?5to?5attach?5twice?5?$CB?6?$AA@,"""try to attach twice !\n""",ilk
0x00484424,0x10484424,string,0,??_C@_09OIAM@radarInfo?$AA@,"""radarInfo""",ilk
0x00484430,0x10484430,vtable,0,??_7PartsInfo@RadarInfo@@6B@,const RadarInfo::PartsInfo::`vftable',ilk
0x00484444,0x10484444,string,0,??_C@_04FKBO@hole?$AA@,"""hole""",ilk
0x0048444c,0x1048444c,string,0,??_C@_03EJKE@mud?$AA@,"""mud""",ilk
0x00484450,0x10484450,string,0,??_C@_04EOHJ@wood?$AA@,"""wood""",ilk
0x00484458,0x10484458,string,0,??_C@_05JGGH@grass?$AA@,"""grass""",ilk
0x00484460,0x10484460,string,0,??_C@_04BAMA@rock?$AA@,"""rock""",ilk
0x00484468,0x10484468,string,0,??_C@_05FPMI@solid?$AA@,"""solid""",ilk
0x00484470,0x10484470,string,0,??_C@_0L@BEBF@miurin?5?$CFd?6?$AA@,"""miurin %d\n""",ilk
0x0048447c,0x1048447c,data,0,__real@4@c002a000000000000000,__real@4@c002a000000000000000,ilk
0x00484480,0x10484480,string,0,??_C@_0BB@EBKK@already?5flicked?6?$AA@,"""already flicked\n""",ilk
0x00484494,0x10484494,string,0,??_C@_0P@KDFI@interactBattle?$AA@,"""interactBattle""",ilk
