rva,kind,size,name_mangled,name,source
0x0000b5a0,function,38,,FUN_1000b5a0,ghidra
0x0000b5d0,function,115,,MemoryCard::makeDefaultFile,ghidra
0x0000b650,function,119,,MemoryCard::copyFile,ghidra
0x0000b6d0,function,77,,MemoryCard::delFile,ghidra
0x0000b720,function,142,,MemoryCard::doFormatCard,ghidra
0x0000b7b0,function,38,,MemoryCard::isCardInserted,ghidra
0x0000b7e0,function,38,,MemoryCard::hasCardChanged,ghidra
0x0000b810,function,46,,MemoryCard::getOkSections,ghidra
0x0000b840,function,144,,MemoryCard::isFileBroken,ghidra
0x0000b8d0,function,36,,FUN_1000b8d0,ghidra
0x0000b900,function,36,,MemoryCard::repairFile,ghidra
0x0000b930,function,48,,MemoryCard::didSaveFail,ghidra
0x0000b960,function,38,,FUN_1000b960,ghidra
0x0000b990,function,36,,MemoryCard::init,ghidra
0x0000b9c0,function,76,,PikiInfMgr::getColorTotal,ghidra
0x0000ba10,function,69,,PlayerState::hasContainer,ghidra
0x0000ba60,function,195,,FUN_1000ba60,ghidra
0x0000bb30,function,275,,NinLogoSetupSection::NinLogoSetupSection,ghidra
0x0000bc50,function,279,,FUN_1000bc50,ghidra
0x0000bd70,function,565,,FUN_1000bd70,ghidra
0x0000bfb0,function,105,,FUN_1000bfb0,ghidra
0x0000c020,function,80,,FUN_1000c020,ghidra
0x0000c070,function,547,,TitlesSection::init,ghidra
0x0000c2a0,function,227,,Titles_Print,ghidra
0x0000c390,function,3747,,TitleSetupSection::TitleSetupSection,ghidra
0x0000d240,function,77,,TitlesMovieInterface::TitlesMovieInterface,ghidra
0x0000d290,function,133,,TitleSetupSection::menuSelectOption,ghidra
0x0000d320,function,143,,TitleSetupSection::menuChallengeOption,ghidra
0x0000d3b0,function,2276,,TitleSetupSection::update,ghidra
0x0000dca0,function,61,,cosf,ghidra
0x0000dce0,function,2577,,TitleSetupSection::draw,ghidra
0x0000e700,function,136,,Vector3f::operatorSub,ghidra
0x0000e790,function,105,,TitleSetupSection::drawMenu,ghidra
0x0000e800,function,63,,FUN_1000e800,ghidra
0x0000e840,function,86,,Delegate1::Delegate1,ghidra
0x0000e8a0,function,73,,FUN_1000e8a0,ghidra
0x0000e8f0,function,86,,Delegate1_TitleSetupSection_Menu::Delegate1_TitleSetupSection_Menu,ghidra
0x0000e950,function,73,,FUN_1000e950,ghidra
0x0000e9a0,function,51,,GamePrefs::getStereoMode,ghidra
0x0000e9e0,function,51,,GamePrefs::getVibeMode,ghidra
0x0000ea20,function,51,,GamePrefs::getChildMode,ghidra
0x0000ea60,function,52,,GamePrefs::isChallengeOpen,ghidra
0x0000eaa0,function,48,,FUN_1000eaa0,ghidra
0x0000ead0,function,38,,FUN_1000ead0,ghidra
0x0000eb00,function,38,,FUN_1000eb00,ghidra
0x0000eb30,function,36,,FUN_1000eb30,ghidra
0x0000eb60,function,38,,FUN_1000eb60,ghidra
0x0000eb90,function,31,,FUN_1000eb90,ghidra
0x0000ebb0,function,284,,MovSampleSection::init,ghidra
0x0000ecd0,function,267,,MovSampleSetupSection::MovSampleSetupSection,ghidra
0x0000ede0,function,72,,MovSampleSetupSection::update,ghidra
0x0000ee30,function,659,,MovSampleSetupSection::draw,ghidra
0x0000f0d0,function,46,,FUN_1000f0d0,ghidra
0x0000f100,function,51,,FUN_1000f100,ghidra
0x0000f140,function,71,,StageInfo::write,ghidra
0x0000f190,function,227,,GameOnePlayer_Print,ghidra
0x0000f280,function,71,,StageInfo::read,ghidra
0x0000f2d0,function,618,,StageInfo::parseGenerators,ghidra
0x0000f540,function,196,,FlowController::setStage,ghidra
0x0000f610,function,1239,,FlowController::readMapList,ghidra
0x0000faf0,function,1766,,OnePlayerSection::init,ghidra
0x000101d6,data,4,,switchdataD_100101d6,ghidra
0x00010210,function,81,,FUN_10010210,ghidra
0x00010270,function,172,,FUN_10010270,ghidra
0x00010320,function,57,,FUN_10010320,ghidra
0x00010360,function,66,,FUN_10010360,ghidra
0x000103b0,function,83,,FUN_100103b0,ghidra
0x00010410,function,104,,PlayState::openStage,ghidra
0x00010480,function,74,,GamePrefs::setBgmVol,ghidra
0x000104d0,function,74,,GamePrefs::setSfxVol,ghidra
0x00010520,function,113,,GamePrefs::setStereoMode,ghidra
