rva,kind,size,name_mangled,name,source
0x00002630,thunk,5,??0KTri@@QAE@ABV0@@Z,KTri::KTri(KTri const &),ida
0x00002635,thunk,5,,j_sinf,ida
0x0000263a,thunk,5,?calcProjection@LightCamera@@QAEXAAVGraphics@@_NPAVNode@@@Z,"LightCamera::calcProjection(Graphics &,bool,Node *)",ida
0x0000263f,thunk,5,?updateViewPlanes@CullFrustum@@QAEXMMMM@Z,"CullFrustum::updateViewPlanes(float,float,float,float)",ida
0x00002644,thunk,5,?drawlights@BaseShape@@QAEXAAVGraphics@@AAVCamera@@@Z,"BaseShape::drawlights(Graphics &,Camera &)",ida
0x00002649,thunk,5,??0LFlareGroup@@QAE@ABV0@@Z,LFlareGroup::LFlareGroup(LFlareGroup const &),ida
0x0000264e,thunk,5,?write@ShortColour@@QAEXAAVRandomAccessStream@@@Z,ShortColour::write(RandomAccessStream &),ida
0x00002653,thunk,5,?initData@AnimData@@QAEXXZ,AnimData::initData(void),ida
0x00002658,thunk,5,?render@BaseShape@@UAEXAAVGraphics@@@Z,BaseShape::render(Graphics &),ida
0x0000265d,thunk,5,?setTranslation@Matrix4f@@QAEXMMM@Z,"Matrix4f::setTranslation(float,float,float)",ida
0x00002662,thunk,5,,sub_10002662,ida
0x00002667,thunk,5,?getDListRemainSize@Graphics@@UAE_IXZ,Graphics::getDListRemainSize(void),ida
0x0000266c,thunk,5,?NewEditor@AgeServer@@QAEXPAD0HHH@Z,"AgeServer::NewEditor(char *,char *,int,int,int)",ida
0x00002671,thunk,5,?read@PVWTevInfo@@QAEXAAVRandomAccessStream@@@Z,PVWTevInfo::read(RandomAccessStream &),ida
0x00002676,thunk,5,,sub_10002676,ida
0x0000267b,thunk,5,??4CmdStream@@QAEAAV0@ABV0@@Z,CmdStream::operator=(CmdStream const &),ida
0x00002680,thunk,5,??4ComboBox@@QAEAAV0@ABV0@@Z,ComboBox::operator=(ComboBox const &),ida
0x00002685,thunk,5,?calcLightObjRadius@Light@@QAEMXZ,Light::calcLightObjRadius(void),ida
0x0000268a,thunk,5,?offsetGXtoGL@Texture@@SAHHHHH@Z,"Texture::offsetGXtoGL(int,int,int,int)",ida
